0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:30 +0900] "GET /little-cinema/rest_avg?movieNo=8 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:30 +0900] "GET /little-cinema/rest_avg?movieNo=2 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:30 +0900] "GET /little-cinema/rest_avg?movieNo=3 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:30 +0900] "GET /little-cinema/rest_avg?movieNo=5 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:30 +0900] "GET /little-cinema/rest_avg?movieNo=7 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:38 +0900] "GET /little-cinema/seattable HTTP/1.1" 200 12322
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:26:44 +0900] "GET /little-cinema/faq HTTP/1.1" 200 25691
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:22 +0900] "GET /little-cinema/ HTTP/1.1" 200 52540
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=6 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=5 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=8 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=1 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=7 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=3 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=2 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=5 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=6 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=4 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=3 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=8 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=1 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=7 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=2 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=6 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=5 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=4 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=8 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=7 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_now_playing?movieDate=2021-11-08 HTTP/1.1" 200 7325
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=3 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=5 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=2 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=8 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:23 +0900] "GET /little-cinema/rest_avg?movieNo=7 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:27 +0900] "GET /little-cinema/movie-info?movieNo=1 HTTP/1.1" 200 73452
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:27 +0900] "GET /little-cinema/fontawesome/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 12220
0:0:0:0:0:0:0:1 - - [06/Jan/2022:21:28:28 +0900] "GET /little-cinema/MovieTimeTableJSON?movieNo=1&movieDate=2021-11-09 HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [06/Jan/2022:22:16:18 +0900] "GET /little-cinema/bootstrap/js/bootstrap.js.map HTTP/1.1" 200 211967
0:0:0:0:0:0:0:1 - - [06/Jan/2022:22:16:18 +0900] "GET /little-cinema/bootstrap/css/bootstrap.css.map HTTP/1.1" 200 430003
0:0:0:0:0:0:0:1 - - [06/Jan/2022:22:20:02 +0900] "GET /little-cinema/movie-info?movieNo=1 HTTP/1.1" 200 73452
0:0:0:0:0:0:0:1 - - [06/Jan/2022:22:20:02 +0900] "GET /little-cinema/bootstrap/css/bootstrap.css.map HTTP/1.1" 200 430003
0:0:0:0:0:0:0:1 - - [06/Jan/2022:22:20:02 +0900] "GET /little-cinema/bootstrap/js/bootstrap.js.map HTTP/1.1" 200 211967
0:0:0:0:0:0:0:1 - - [06/Jan/2022:22:20:02 +0900] "GET /little-cinema/MovieTimeTableJSON?movieNo=1&movieDate=2021-11-09 HTTP/1.1" 200 295
